Parameter,iter0,iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9
100,1.01885,0.92121,0.894861,0.887722,0.883598,0.880523,,,,
200,0.9965,0.920497,0.896777,0.886528,0.883401,0.88185,,,,
300,1.00536,0.921278,0.897029,0.888702,0.889178,0.89022,,,,
400,1.00205,0.921638,0.903554,0.902447,0.894981,0.893485,,,,
500,0.99712,0.931865,0.906722,0.903852,0.898954,0.899877,,,,
600,1.0031,0.933752,0.916779,0.910218,0.900324,0.90368,,,,
700,1.03337,0.935148,0.911909,0.906719,0.909909,0.905048,,,,
800,1.01749,0.938204,0.916134,0.906848,0.902934,0.904824,,,,
900,1.01911,0.948351,0.920147,0.914007,0.908904,0.908325,,,,
1000,1.00961,0.948949,0.923752,0.92287,0.917937,0.909507,,,,
